person_id,movie_id,category_id,year_ceremony,ceremony
2895,52679,1,1928,1
9088,82474,2,1928,1
2000,102384,5,1928,1
29999,83989,1,1929,2
100047,85507,2,1929,2
72061,104214,9,1929,2
124309,84274,1,1930,3
88867,80708,2,1930,3
2000,143,9,1930,3
17753,50600,1,1931,4
89610,85505,2,1931,4
82800,84295,9,1931,4
29260,42816,1,1932,5
13576,3019,1,1932,5
47439,85504,2,1932,5
14855,84299,9,1932,5
10921,43122,1,1933,6
6598,31777,2,1933,6
72061,56164,9,1933,6
11492,3078,1,1935,7
30155,3078,2,1935,7
2662,3078,9,1935,7
30495,43896,1,1936,8
3380,52863,2,1936,8
8500,43896,9,1936,8
13352,74469,1,1937,9
4302,93313,23,1937,9
125482,43277,2,1937,9
25173,37658,24,1937,9
2662,24807,9,1937,9
12147,16515,1,1938,10
24820,43278,23,1938,10
125482,36652,2,1938,10
125841,78734,24,1938,10
30008,14675,9,1938,10
12147,42390,1,1939,11
4302,118889,23,1939,11
3380,1976,2,1939,11
20366,1976,24,1939,11
2662,34106,9,1939,11
3609,42852,1,1940,12
3383,995,23,1940,12
10538,770,2,1940,12
11498,770,24,1940,12
9049,770,9,1940,12
854,981,1,1941,13
4302,14710,23,1941,13
30003,77744,2,1941,13
8515,596,24,1941,13
8500,596,9,1941,13
4068,16442,1,1942,14
8841,43266,23,1942,14
3360,11462,2,1942,14
13992,43705,24,1942,14
8500,43266,9,1942,14
5788,3087,1,1943,15
18803,41495,23,1943,15
93805,27367,2,1943,15
7663,27367,24,1943,15
10001,27367,9,1943,15
2092,68440,1,1944,16
11169,80616,23,1944,16
39554,43516,2,1944,16
54905,27854,24,1944,16
4109,289,9,1944,16
24937,17661,1,1945,17
13820,17661,23,1945,17
4111,13528,2,1945,17
97777,52362,24,1945,17
30008,17661,9,1945,17
7124,28580,1,1946,18
131618,30177,23,1946,18
31550,3309,2,1946,18
7641,17641,24,1946,18
3146,28580,9,1946,18
13576,887,1,1947,19
13580,887,23,1947,19
8725,54568,2,1947,19
10606,56135,24,1947,19
10001,887,9,1947,19
29522,41206,1,1948,20
22600,11881,23,1948,20
85848,43466,2,1948,20
10607,33667,24,1948,20
2746,33667,9,1948,20
3359,23383,1,1949,21
19020,3090,23,1949,21
20391,62000,2,1949,21
14965,11016,24,1949,21
6593,3090,9,1949,21
85895,25430,1,1950,22
29313,15497,23,1950,22
8725,28571,2,1950,22
18737,25430,24,1950,22
10601,45578,9,1950,22
12515,43386,1,1951,23
3361,705,23,1951,23
85651,24481,2,1951,23
2667,11787,24,1951,23
10601,705,9,1951,23
4110,488,1,1952,24
9857,702,23,1952,24
10538,702,2,1952,24
10539,702,24,1952,24
18738,25673,9,1952,24
4068,288,1,1953,25
5401,1810,23,1953,25
113284,84214,2,1953,25
77081,32499,24,1953,25
8500,3109,9,1953,25
8252,632,1,1954,26
4347,11426,23,1954,26
1932,804,2,1954,26
17752,11426,24,1954,26
4065,11426,9,1954,26
3084,654,1,1955,27
8254,34689,23,1955,27
4070,2438,2,1955,27
2639,654,24,1955,27
2746,654,9,1955,27
7502,15919,1,1956,28
3151,37853,23,1956,28
4421,65550,2,1956,28
2752,220,24,1956,28
67451,15919,9,1956,28
14528,16520,1,1957,29
5401,29592,23,1957,29
4111,38171,2,1957,29
10487,69605,24,1957,29
18738,1712,9,1957,29
12248,826,1,1958,30
7503,40885,23,1958,30
109410,28285,2,1958,30
124933,40885,24,1958,30
12238,826,9,1958,30
14261,43136,1,1959,31
2753,12501,23,1959,31
30124,28577,2,1959,31
13325,43136,24,1959,31
13980,17281,9,1959,31
10017,665,1,1960,32
10021,665,23,1960,32
12266,43103,2,1960,32
7632,2576,24,1960,32
10001,665,9,1960,32
13784,22013,1,1961,33
14501,967,23,1961,33
3635,23724,2,1961,33
60158,22013,24,1961,33
3146,284,9,1961,33
12150,821,1,1962,34
24880,1725,23,1962,34
16757,24167,2,1962,34
13299,1725,24,1962,34
1744,1725,9,1962,34
18868,1725,9,1962,34
8487,595,1,1963,35
39816,33632,23,1963,35
10774,1162,2,1963,35
27446,1162,24,1963,35
12238,947,9,1963,35
16897,38805,1,1964,36
19550,24748,23,1964,36
1934,24748,2,1964,36
11127,37222,24,1964,36
32765,5769,9,1964,36
35321,11113,1,1965,37
14501,5052,23,1965,37
5823,433,2,1965,37
45523,10604,24,1965,37
14674,11113,9,1965,37
18391,11694,1,1966,38
1936,42731,23,1966,38
1666,24134,2,1966,38
7632,33364,24,1966,38
1744,15121,9,1966,38
13324,874,1,1967,39
6837,1888,23,1967,39
3635,396,2,1967,39
18365,396,24,1967,39
4065,874,9,1967,39
522,10633,1,1968,40
12950,903,23,1968,40
6598,1879,2,1968,40
6461,475,24,1968,40
5342,37247,9,1968,40
19153,29146,1,1969,41
3461,118872,23,1969,41
6598,18988,2,1969,41
10400,16085,2,1969,41
4970,805,24,1969,41
15378,17917,9,1969,41
4165,17529,1,1970,42
70985,28145,23,1970,42
10978,5179,2,1970,42
18892,28289,24,1970,42
19304,3116,9,1970,42
862,11202,1,1971,43
11859,38953,23,1971,43
115573,66027,2,1971,43
47439,10671,24,1971,43
13265,11202,9,1971,43
193,1051,1,1972,44
8258,25188,23,1972,44
6352,466,2,1972,44
9599,25188,24,1972,44
15175,1051,9,1972,44
3084,238,1,1973,45
6748,10784,23,1973,45
66776,10784,2,1973,45
40618,55106,24,1973,45
66777,10784,9,1973,45
3151,38714,1,1974,46
11783,14328,23,1974,46
115573,42458,2,1974,46
68890,11293,24,1974,46
9577,9277,9,1974,46
40176,42448,1,1975,47
380,240,23,1975,47
9560,16153,2,1975,47
4111,4176,24,1975,47
1776,240,9,1975,47
514,510,1,1976,48
80625,16561,23,1976,48
7071,510,2,1976,48
30123,31121,24,1976,48
3974,510,9,1976,48
29903,10774,67,1977,49
4765,891,23,1977,49
6450,10774,68,1977,49
10083,10774,24,1977,49
16513,1366,9,1977,49
3037,14741,67,1978,50
4765,42222,23,1978,50
3092,703,68,1978,50
13333,42222,24,1978,50
1243,703,9,1978,50
10127,31657,67,1979,51
4690,11778,23,1979,51
6352,31657,68,1979,51
10978,26686,24,1979,51
12114,11778,9,1979,51
4483,12102,67,1980,52
19550,10322,23,1980,52
35,40842,68,1980,52
5064,12102,24,1980,52
6729,12102,9,1980,52
380,1578,67,1981,53
16327,16619,23,1981,53
5606,16769,68,1981,53
2453,38772,24,1981,53
4135,16619,9,1981,53
4958,11816,67,1982,54
11857,13665,23,1982,54
6598,11816,68,1982,54
21151,18254,24,1982,54
6449,18254,9,1982,54
2282,783,67,1983,55
20959,2623,23,1983,55
5064,15764,68,1983,55
4431,9576,24,1983,55
4786,783,9,1983,55
3087,42121,67,1984,56
514,11050,23,1984,56
4090,11050,68,1984,56
12516,11541,24,1984,56
3388,11050,9,1984,56
1164,279,67,1985,57
8976,625,23,1985,57
35,13681,68,1985,57
3672,15927,24,1985,57
3974,279,9,1985,57
227,11703,67,1986,58
18156,10328,23,1986,58
41283,47908,68,1986,58
5657,2075,24,1986,58
2226,606,9,1986,58
3636,11873,67,1987,59
3895,5143,23,1987,59
19797,1890,68,1987,59
1902,5143,24,1987,59
1152,792,9,1987,59
3392,10673,67,1988,60
738,117,23,1988,60
38225,2039,68,1988,60
3019,2039,24,1988,60
4956,746,9,1988,60
4483,380,67,1989,61
8945,623,23,1989,61
1038,10868,68,1989,61
16935,31052,24,1989,61
8246,380,9,1989,61
11856,10161,67,1990,62
5292,9665,23,1990,62
5698,403,68,1990,62
18345,10161,24,1990,62
1152,2604,9,1990,62
16940,38718,67,1991,63
4517,769,23,1991,63
8534,1700,68,1991,63
2395,251,24,1991,63
1269,581,9,1991,63
4173,274,67,1992,64
3785,1406,23,1992,64
1038,274,68,1992,64
2167,177,24,1992,64
16294,274,9,1992,64
1158,9475,67,1993,65
193,33,23,1993,65
7056,8293,68,1993,65
3141,10377,24,1993,65
190,33,9,1993,65
31,9800,67,1994,66
2176,5503,23,1994,66
18686,713,68,1994,66
10690,713,24,1994,66
488,424,9,1994,66
31,13,67,1995,67
2641,522,23,1995,67
4431,57834,68,1995,67
1902,11382,24,1995,67
24,13,9,1995,67
2963,451,67,1996,68
1979,629,23,1996,68
4038,687,68,1996,68
23931,11448,24,1996,68
2461,197,9,1996,68
118,7863,67,1997,69
9777,9390,23,1997,69
3910,275,68,1997,69
1137,409,24,1997,69
2239,409,9,1997,69
514,2898,67,1998,70
2157,489,23,1998,70
9994,2898,68,1998,70
326,2118,24,1998,70
2710,597,9,1998,70
4818,637,67,1999,71
5563,31662,23,1999,71
12052,1934,68,1999,71
5309,1934,24,1999,71
488,857,9,1999,71
1979,14,67,2000,72
3895,1715,23,2000,72
448,226,68,2000,72
11701,3558,24,2000,72
39,14,9,2000,72
934,98,67,2001,73
1121,1900,23,2001,73
1204,462,68,2001,73
4726,12509,24,2001,73
1884,1900,9,2001,73
5292,2034,67,2002,74
388,11889,23,2002,74
4587,1365,68,2002,74
6161,453,24,2002,74
6159,453,9,2002,74
3490,423,67,2003,75
2955,2757,23,2003,75
2227,590,68,2003,75
1922,1574,24,2003,75
3556,423,9,2003,75
2228,322,67,2004,76
504,322,23,2004,76
6885,504,68,2004,76
9137,2289,24,2004,76
108,122,9,2004,76
134,1677,67,2005,77
192,70,23,2005,77
448,70,68,2005,77
112,2567,24,2005,77
190,70,9,2005,77
1233,398,67,2006,78
1461,231,23,2006,78
368,69,68,2006,78
3293,1985,24,2006,78
1614,142,9,2006,78
2178,1523,67,2007,79
1903,773,23,2007,79
15735,1165,68,2007,79
15565,1125,24,2007,79
1032,1422,9,2007,79
11856,7345,67,2008,80
3810,6977,23,2008,80
8293,1407,68,2008,80
3063,4566,24,2008,80
1223,6977,9,2008,80
1224,6977,9,2008,80
2228,10139,67,2009,81
1810,155,23,2009,81
204,8055,68,2009,81
955,5038,24,2009,81
2034,12405,9,2009,81
1229,25196,67,2010,82
27319,16869,23,2010,82
18277,22881,68,2010,82
60561,25793,24,2010,82
14392,12162,9,2010,82
5472,45269,67,2011,83
3894,45317,23,2011,83
524,44214,68,2011,83
6832,45317,24,2011,83
70500,45269,9,2011,83
56024,74643,67,2012,84
290,55347,23,2012,84
5064,71688,68,2012,84
6944,50014,24,2012,84
67717,74643,9,2012,84
11856,72976,67,2013,85
27319,68718,23,2013,85
72129,82693,68,2013,85
1813,82695,24,2013,85
1614,87827,9,2013,85
10297,152532,67,2014,86
7499,152532,23,2014,86
112,160588,68,2014,86
1267329,76203,24,2014,86
11218,49047,9,2014,86
37632,266856,67,2015,87
18999,244786,23,2015,87
1231,284293,68,2015,87
4687,85350,24,2015,87
223,194662,9,2015,87
6193,281957,67,2016,88
40900,296098,23,2016,88
60073,264644,68,2016,88
227454,306819,24,2016,88
223,281957,9,2016,88
1893,334541,67,2017,89
932967,376867,23,2017,89
54693,313369,68,2017,89
19492,393457,24,2017,89
136495,313369,9,2017,89
64,399404,67,2018,90
6807,359940,23,2018,90
3910,359940,68,2018,90
19,389015,24,2018,90
10828,399055,9,2018,90
17838,424694,67,2019,91
932967,490132,23,2019,91
39187,375262,68,2019,91
9788,465914,24,2019,91
11218,426426,9,2019,91
73421,475557,67,2020,92
287,466272,23,2020,92
9137,491283,68,2020,92
4784,492188,24,2020,92
21684,496243,9,2020,92
4173,600354,67,2021,93
206919,583406,23,2021,93
3910,581734,68,2021,93
1080935,615643,24,2021,93
1395183,581734,9,2021,93
2888,614917,67,2022,94
1571661,776503,23,2022,94
83002,601470,68,2022,94
1437491,511809,24,2022,94
10757,600583,9,2022,94
18269,785084,67,2023,95
690,545611,23,2023,95
1620,545611,68,2023,95
8944,545611,24,2023,95
1383612,545611,9,2023,95
1317730,545611,9,2023,95
2037,872585,67,2024,96
3223,872585,23,2024,96
54693,792307,68,2024,96
1180099,840430,24,2024,96
525,872585,9,2024,96
